EVTAG, UPLOAD_DATE
s2005FUKUOK01ASAN,2016-05-31
s2011TOHOKU01IDEx,2013-12-05
s1998HIDASW11IDEx,2012-10-23
s2004PARKFI01DREG,2012-10-21
s2004PARKFI01CUST,2012-10-21
s2003TOKACH01YAMA,2012-10-21
s2003TOKACH01YAGI,2012-10-21
s2003TOKACH01TANI,2012-10-21
s2003TOKACH01KOKE,2012-10-21
s2003MIYAGI01MIUR,2012-10-21
s2003MIYAGI01HIKI,2012-10-21
s2003COLIMA01YAGI,2012-10-22
s2003BOUMER01SEMM,2012-10-22
s2002DENALI01OGLE,2012-10-22
s2001GEIYOJ01SEKI,2012-10-22
s2001GEIYOJ01KAKE,2012-10-22
s2001BHUJIN01YAGI,2012-10-22
s2001BHUJIN01ANTO,2012-10-22
s2000TOTTOR01SEMM,2012-10-22
s2000TOTTOR01SEKI,2012-10-22
s2000TOTTOR01IWAT,2012-10-22
s1999OAXACA01HERN,2013-12-09
s1999IZMITT01YAGI,2012-10-23
s1999IZMITT01SEKI,2012-10-23
s1999IZMITT01REIL,2012-10-23
s1999IZMITT01DELO,2012-10-23
s1999IZMITT01CAKI,2012-10-23
s1999IZMITT01BOUC,2013-03-02
s1999HECTOR01SALI,2012-10-22
s1999HECTOR01KAVE,2012-10-22
s1999HECTOR01JONS,2012-10-22
s1999HECTOR01JIxx,2012-10-22
s1999DUZCET01DELO,2012-10-22
s1999DUZCET01BIRG,2012-10-22
s1999CHICHI01ZENG,2012-10-22
s1999CHICHI01SEKI,2012-10-22
s1999CHICHI01WUxx,2012-10-22
s1999CHICHI01JOHN,2012-10-22
s1999CHICHI01CHIx,2012-10-22
s1999CHICHI01MAxx,2012-10-22
s1999CHICHI02MAxx,2012-10-22
s1998IWATEJ01NAKA,2012-10-23
s1998IWATEJ01MIYA,2012-10-23
s1994SANRIK01NAGA,2012-11-15
s1998HIDASW07IDEx,2012-10-23
s1998HIDASW05IDEx,2012-10-23
s1998HIDASW08IDEx,2012-10-23
s1998HIDASW10IDEx,2012-10-23
s1998HIDASW09IDEx,2012-10-23
s1998ANTARC02ANTO,2012-10-23
s1998ANTARC01ANTO,2012-10-23
s1997YAMAGU01MIYA,2014-11-03
s1997YAMAGU01IDEx,2012-10-23
s1997KAGOSH01HORI,2012-10-24
s1997KAGOSH01MIYA,2014-11-03
s1997KAGOSH02HORI,2012-10-24
s1997COLFIO02HERN,2012-10-23
s1997COLFIO03HERN,2012-10-23
s1997COLFIO01HERN,2012-10-23
s1996NAZCAR01SPEN,2012-10-24
s1996NAZCAR01SALI,2012-10-24
s1996HYUGAx01YAGI,2012-10-24
s1996HYUGAx02YAGI,2012-10-24
s1995KOBEJA01ZENG,2012-10-24
s1995KOBEJA01YOSH,2012-10-24
s1995KOBEJA01WALD,2012-10-24
s1995KOBEJA01KOKE,2012-10-24
s1995KOBEJA01IDEx,2012-10-24
s1995KOBEJA01HORI,2012-10-24
s1995KOBEJA01CHOx,2012-10-24
s1995KOBEJA01SEKI,2012-10-24
s1995KOBEJA02SEKI,2012-10-24
s1995COLIMA01MEND,2013-12-09
s1994SANRIK01NAKA,2012-11-15
s1994NORTHR01DREG,2012-11-15
s1994NORTHR01HART,2012-11-15
s1994NORTHR01HUDN,2012-11-15
s1994NORTHR01SHEN,2012-11-15
s1994NORTHR01WALD,2012-11-15
s1994NORTHR01ZENG,2012-11-15
s2010HAITIx01CALA,2012-11-26
s1993HOKKAI01TANI,2012-11-15
s1993HOKKAI01MEND,2012-11-15
s1992LITTLE01SILV,2012-11-15
s1992LANDER01ZENG,2012-11-15
s1992LANDER01WALD,2012-11-15
s1992LANDER01HERN,2012-11-15
s1992LANDER01COTT,2012-11-15
s1992LANDER01COHE,2012-11-15
s1992JOSHUA01HOUG,2012-11-15
s1992JOSHUA01BENN,2012-11-15
s1991SIERRA01WALD,2012-11-15
s1989UNGAVA01HART,2012-11-15
s1989LOMAPR01ZENG,2012-11-15
s1989LOMAPR01WALD,2012-11-15
s1989LOMAPR01STEI,2012-11-15
s1989LOMAPR01EMOL,2012-11-15
s1989LOMAPR01BERO,2012-11-15
s1988SAGUEN01HART,2012-11-15
s1987WHITTI01HART,2012-11-16
s1987SUPERS01WALD,2012-11-15
s1987SUPERS01LARS,2012-11-15
s1987ELMORE01LARS,2012-11-15
s1986NORTHP01MEND,2012-11-16
s1986NORTHP01HART,2012-11-16
s1985ZIHUAT01MEND,2012-11-16
s1985NAHANN01HART,2012-11-16
s1984MORGAN01BERO,2012-11-16
s1985NAHANN02HART,2012-11-16
s1985MICHOA01MEND,2012-11-16
s1985CENTRA01MEND,2012-11-16
