"","Period","sigma","tau","phi"
"1",-1,0.5915513345865,0.346554927471661,0.479408660430932
"2",0,0.738200592193299,0.408503237219419,0.614870083428843
"3",0.01,0.742829581217461,0.412166087406551,0.617992640023879
"4",0.02,0.741643523454716,0.404208424405178,0.621812403802152
"5",0.025,0.741597674912056,0.3965953600513,0.626641230546432
"6",0.03,0.74536361443969,0.394504418145485,0.632402705397669
"7",0.04,0.748693112923025,0.38334155049278,0.643110125098463
"8",0.05,0.755392844785189,0.373239927626988,0.656742191714269
"9",0.075,0.785121583915345,0.385789124138998,0.683800155912387
"10",0.1,0.806400217090866,0.384133249705236,0.709029587954614
"11",0.15,0.818688775358792,0.361501816494512,0.734552753428674
"12",0.2,0.824358728530779,0.37928453096071,0.731922508110522
"13",0.25,0.794459932577881,0.357654227328758,0.709401182791177
"14",0.3,0.783575797566245,0.351298621934884,0.700414383603184
"15",0.4,0.771054497688292,0.374140721824552,0.674198604773065
"16",0.5,0.773746381981488,0.415166556049626,0.6529319982719
"17",0.75,0.789134696700137,0.463086036864432,0.638971745852046
"18",1,0.772770931557505,0.433523859062116,0.639712416859438
"19",1.5,0.765823985391575,0.429961612446817,0.633734477855804
"20",2,0.774595825992621,0.428408174010026,0.645341095922603
"21",2.5,0.786007999618776,0.465847852222176,0.633083212575326
"22",3,0.764243056190922,0.458946765208272,0.611093540827346
"23",4,0.765097062810732,0.49705544393112,0.581643706387378
"24",5,0.700499312981573,0.422506822111069,0.558737212611851
"25",7.5,0.614050385750837,0.330493257938686,0.517524958526471
"26",10,0.594574950233445,0.360230934463453,0.473025417182514
