"","Period","c1","Global_a0","c4","c0","p_value","logLik","sigma","tau","phi"
"1",-1,-1.11665765345357,-0.00105395324412907,1.17450124223072,-2.15331239508456,-50,-976.342855007734,0.603126276535274,0.359867060437862,0.484001037456652
"2",-1,-1.11630005219574,-0.00105529375805743,1.1749812851605,-2.15749557245699,-49.5,-976.323705095953,0.603031126823505,0.359712877996674,0.483997092265415
"3",-1,-1.11593689448863,-0.00105666642153009,1.17547177946516,-2.1617631322732,-49,-976.304377093677,0.602935925648602,0.359558651881199,0.483993084966213
"4",-1,-1.11556959088376,-0.00105807865889123,1.17597127814246,-2.16609417727339,-48.5,-976.281450911465,0.602836457431615,0.359398822357084,0.483987893337262
"5",-1,-1.11520310164506,-0.00105953112916865,1.17647832858431,-2.1704510663308,-48,-976.252367314595,0.602737010119244,0.359242039355561,0.483980434033385
"6",-1,-1.11484785808057,-0.00106099403591251,1.17699879897054,-2.17482839831421,-47.5,-976.217442783275,0.602634191020112,0.359082222669193,0.483970996599401
"7",-1,-1.11448475291602,-0.00106250413955289,1.17751972006053,-2.17922972055988,-47,-976.178829316851,0.602531426083495,0.358924453794755,0.483960076748431
"8",-1,-1.11411688272649,-0.00106404809250532,1.17805826609277,-2.18375793169003,-46.5,-976.13716965502,0.602426523309526,0.358764388273798,0.48394816839547
"9",-1,-1.11374462530886,-0.00106563333301345,1.17860677487394,-2.18835423243137,-46,-976.090918798451,0.602316924883815,0.358598466564388,0.483934724708989
"10",-1,-1.11337075674191,-0.00106726389409655,1.17916537390022,-2.19300457524526,-45.5,-976.044197249468,0.602209854263918,0.358437091101527,0.483921026919936
"11",-1,-1.11299260845088,-0.00106895626560641,1.17973083716578,-2.19769116789812,-45,-975.997707059336,0.60210021539498,0.358271125927733,0.483907501187114
"12",-1,-1.11260930143555,-0.00107070028233768,1.18030765939272,-2.20245681161627,-44.5,-975.94736199847,0.601988911907855,0.35810416063718,0.483892612254355
"13",-1,-1.11222118656849,-0.00107247217157147,1.18090056311047,-2.20734255723529,-44,-975.895115043649,0.601876804629637,0.357936708010447,0.483877051542876
"14",-1,-1.11183439338643,-0.00107427771435081,1.18150471397558,-2.21227715537366,-43.5,-975.838216733689,0.601759985033333,0.357763389724501,0.483859934857343
"15",-1,-1.11143778466625,-0.00107614161171216,1.18212092137996,-2.21731546026349,-43,-975.784572400758,0.601644634110068,0.357590935220718,0.483843971546003
"16",-1,-1.11103510417484,-0.00107805673727356,1.1827489576826,-2.22243842410719,-42.5,-975.736588882105,0.601526416553663,0.357410654234927,0.483830191339122
"17",-1,-1.11063464812882,-0.00108002135431718,1.18340178421907,-2.227707873911,-42,-975.688290320111,0.601415004417194,0.357242135611282,0.483816146983566
"18",-1,-1.11023181240791,-0.00108202069311816,1.18404409068208,-2.23286701102666,-41.5,-975.63642034179,0.601290944663373,0.357053686282255,0.483801059575549
"19",-1,-1.10983592167254,-0.00108404193442191,1.18472821268894,-2.2382905691346,-41,-975.581783873801,0.601174123610986,0.356878875754139,0.483784864314602
"20",-1,-1.10944406997867,-0.00108609346256202,1.18540011474447,-2.24355758096542,-40.5,-975.526410720654,0.601045912917136,0.356684878300722,0.483768629642304
"21",-1,-1.10905832330411,-0.00108820185495591,1.186097924647,-2.24895345471113,-40,-975.466130596889,0.600922485608365,0.356501447046909,0.483750505904848
"22",-1,-1.10866818269779,-0.00109037031117091,1.18681357290768,-2.25446458560937,-39.5,-975.40317535918,0.600797923629958,0.356317332611377,0.483731437389365
"23",-1,-1.10827870705973,-0.0010925912907501,1.18754564447224,-2.26005415897263,-39,-975.339367304053,0.600670338569907,0.356128352739906,0.483712158222685
"24",-1,-1.10789313516113,-0.00109484695147869,1.18830154129273,-2.26576687553148,-38.5,-975.27590810394,0.600540261651413,0.35593482120585,0.483693093725254
"25",-1,-1.10751028405488,-0.00109714998920313,1.18907717715452,-2.27157457460668,-38,-975.211535381233,0.60040982924041,0.355741067603276,0.483673708060485
"26",-1,-1.10713486018768,-0.00109949789893924,1.18987111844938,-2.27744173163868,-37.5,-975.140447258119,0.600276493888534,0.355545583294385,0.483651948528037
"27",-1,-1.10677012586105,-0.00110187496933993,1.19068477996075,-2.2833662165386,-37,-975.062684683884,0.6001402755515,0.355348381802745,0.483627829936617
"28",-1,-1.10640807398236,-0.00110429514350434,1.19152102584737,-2.28940631264318,-36.5,-974.981436734998,0.60000257598235,0.355150294544285,0.483602480835824
"29",-1,-1.10605236039154,-0.00110676743895589,1.19238021669044,-2.29554166696617,-36,-974.891947258911,0.599861309167508,0.35495008806482,0.483574218935349
"30",-1,-1.10570190116759,-0.001109301779812,1.19325893454382,-2.30174806245631,-35.5,-974.796041733222,0.599714596180043,0.354743583194823,0.483543779872608
"31",-1,-1.10537426951654,-0.0011118294764771,1.19415312683651,-2.30792415345712,-35,-974.702239031736,0.599568860062083,0.35453764930418,0.483514087883706
"32",-1,-1.10506883886807,-0.00111434717617235,1.19507480963442,-2.31416368993516,-34.5,-974.609574140198,0.599420996934497,0.354327379339734,0.48348489099059
"33",-1,-1.10477480599703,-0.00111689480134957,1.19602549711752,-2.32052120248719,-34,-974.512719466632,0.599268674375992,0.354111393515141,0.483454305049736
"34",-1,-1.10450116366942,-0.00111944621837728,1.19700614895749,-2.3269641689301,-33.5,-974.41441705821,0.599113099113376,0.353890404534115,0.483423300129311
"35",-1,-1.1042129956805,-0.00112208427815095,1.19801683735663,-2.3336478385471,-33,-974.315462148593,0.598954623733,0.35366461970395,0.483392157632703
"36",-1,-1.10391679707566,-0.00112479812387543,1.19905930689408,-2.34055331807429,-32.5,-974.213981568422,0.598789756560256,0.35342890111468,0.483360304967589
"37",-1,-1.10362452600449,-0.00112760898755915,1.20013032271395,-2.34758510420438,-32,-974.098118478991,0.598621335468025,0.353194151851868,0.483323281432999
"38",-1,-1.10333919849592,-0.00113049894653498,1.20123511737162,-2.35477182142448,-31.5,-973.970859690332,0.598450669467007,0.352961149474962,0.483282144038886
"39",-1,-1.10306872383459,-0.00113344408428259,1.20237501805082,-2.36208891801107,-31,-973.836980432746,0.59827183527703,0.352717169838553,0.483238850866553
"40",-1,-1.10282339363063,-0.00113632181273848,1.20356489576321,-2.36963426938476,-30.5,-973.710342318382,0.598090908380321,0.352465792970222,0.4831983024319
"41",-1,-1.10262503806584,-0.00113918836658148,1.20478792891572,-2.37714531139818,-30,-973.549692525596,0.597900524328377,0.352214999664237,0.483145558816047
"42",-1,-1.10244322471985,-0.00114208634878614,1.20604948325335,-2.38480860462395,-29.5,-973.36984483415,0.597701832156238,0.351959315371194,0.483086038388986
"43",-1,-1.10228486559795,-0.00114502647220104,1.20735541282797,-2.3926252307709,-29,-973.185667784682,0.597498673658766,0.351697924579874,0.483025087205824
"44",-1,-1.1021723401686,-0.00114796080378388,1.20870966345657,-2.4005212984627,-28.5,-972.996578247803,0.5972934643448,0.351435332625402,0.482962410060542
"45",-1,-1.10210062297134,-0.00115088885591898,1.21011263707662,-2.40852490521552,-28,-972.793883696844,0.597082409671162,0.351169309290434,0.482894936969939
"46",-1,-1.10203000220695,-0.00115392101229751,1.21156136261177,-2.41678065607506,-27.5,-972.589080965353,0.596867542093725,0.350897527191575,0.482826871886644
"47",-1,-1.10199504692632,-0.00115694839380898,1.21308220020562,-2.4253474827657,-27,-972.373486294946,0.59664607550285,0.350619672394064,0.482754994529556
"48",-1,-1.10202125469805,-0.00116000387931062,1.21461866595618,-2.43364206493606,-26.5,-972.126136013062,0.596418505726854,0.350347063969426,0.482671698716069
"49",-1,-1.10209353994549,-0.00116302257836387,1.21620730264071,-2.44203697964788,-26,-971.88357825271,0.59618423529325,0.350060115942878,0.482590465755651
"50",-1,-1.10221077071928,-0.00116600585431219,1.21786933092964,-2.45070766461232,-25.5,-971.654581149386,0.595957867502089,0.34978014417605,0.48251386568452
"51",-1,-1.10241038079334,-0.00116880909408162,1.21960627031622,-2.45950158663943,-25,-971.454143702437,0.595727210274974,0.34947797001775,0.482447984278383
"52",-1,-1.10268062906594,-0.00117152257379828,1.22141728009281,-2.46844822465098,-24.5,-971.270984541346,0.595498904398131,0.349170996061552,0.482388391909215
"53",-1,-1.10302067178439,-0.00117418901191989,1.22329833555984,-2.47750120249913,-24,-971.07825880408,0.595264634724819,0.348858264494621,0.482325509016342
"54",-1,-1.10349976507554,-0.00117647194088656,1.22529529032432,-2.48676059676249,-23.5,-970.924794494312,0.595035552325686,0.34853453097043,0.482276880280152
"55",-1,-1.10405694804794,-0.00117863731465748,1.22738171254406,-2.49624572065876,-23,-970.781295320073,0.594806373827436,0.348205367787918,0.482231940241856
"56",-1,-1.10472198269303,-0.00118058079139023,1.22958365030585,-2.50603484686486,-22.5,-970.645407371788,0.594577483578753,0.347872572446266,0.482189856092453
"57",-1,-1.10558097049023,-0.00118208042812889,1.23186579827732,-2.51546873194484,-22,-970.50569894729,0.594348108503152,0.347540836501512,0.482146285939344
"58",-1,-1.1066074393691,-0.00118330188164489,1.23428103149805,-2.52503067193717,-21.5,-970.345039556184,0.594114531868681,0.347212138537045,0.482095226931437
"59",-1,-1.10778933383877,-0.00118421816458541,1.2368294269765,-2.53479257804925,-21,-970.178690443487,0.593878625006081,0.346882065063864,0.482042170537125
"60",-1,-1.10916495537217,-0.00118466749781376,1.23952707844515,-2.54472382598921,-20.5,-970.008271936564,0.59363845826143,0.346546389113506,0.481987779222044
"61",-1,-1.11070317076691,-0.00118477621090605,1.24237732499976,-2.55496584046392,-20,-969.858097223032,0.593401959168391,0.346206631379924,0.481940715787171
"62",-1,-1.11241173475381,-0.00118447320000382,1.24539042513233,-2.56557279132365,-19.5,-969.747641870322,0.593167049722235,0.345849142478792,0.481908206531975
"63",-1,-1.11431750159748,-0.00118366721578357,1.2485748696858,-2.57649173607809,-19,-969.704322855566,0.592945637210815,0.34548082559827,0.48189991474504
"64",-1,-1.11644466746854,-0.0011822338164295,1.2519511874256,-2.58778599597376,-18.5,-969.68531094617,0.592729667853873,0.345109379736175,0.481900378887873
"65",-1,-1.1187763021167,-0.00118035369645762,1.25553965620078,-2.59963067690257,-18,-969.657345021779,0.592509913147513,0.344735448153664,0.481897777505112
"66",-1,-1.12135648601547,-0.00117792877853358,1.25935468499055,-2.61192779738428,-17.5,-969.601724279726,0.592275846372326,0.34435037967989,0.481885353803547
"67",-1,-1.12419029749122,-0.00117504770965866,1.26339155177754,-2.62458003564653,-17,-969.507515880945,0.592040913102427,0.343983238916572,0.48185887366699
"68",-1,-1.12726777166104,-0.00117168869899667,1.26762352503885,-2.63743319455136,-16.5,-969.419554476788,0.591800989608899,0.343603789894216,0.48183487511014
"69",-1,-1.13071908158699,-0.00116753582720667,1.27211411863704,-2.65039415156026,-16,-969.314765289641,0.591567051023349,0.343243357870057,0.481804496797767
"70",-1,-1.13449212570947,-0.00116298466214382,1.27686979130436,-2.66364332763552,-15.5,-969.167178280112,0.591346156384148,0.342927916242797,0.481757948488324
"71",-1,-1.1384525499026,-0.00115837369941703,1.28194684606555,-2.67817995204526,-15,-969.100403038047,0.591149879611568,0.342614230762738,0.481740250595307
"72",-1,-1.14272270299828,-0.00115341991544836,1.28740805899654,-2.69390946380279,-14.5,-969.071904126096,0.590980722451048,0.342328713677701,0.481735680742597
"73",-1,-1.14731418578618,-0.00114819551814538,1.29324732674042,-2.71067237329332,-14,-969.058697305442,0.59084700060092,0.342098066552828,0.481735498982502
"74",-1,-1.15248011492629,-0.00114186108808167,1.29950347120889,-2.72770236321711,-13.5,-968.931487663601,0.590719060178759,0.341936570383047,0.481693252903916
"75",-1,-1.15832051893435,-0.00113409488223826,1.30625636316641,-2.74515444299542,-13,-968.651673046212,0.590587559550983,0.34184779795078,0.481595004679854
"76",-1,-1.16452550118305,-0.00112669739546771,1.31344371237844,-2.76359264841067,-12.5,-968.256964226831,0.59048491414442,0.341869666578091,0.481453595797069
"77",-1,-1.17137719402519,-0.00111880458061485,1.32113028942051,-2.78227815591428,-12,-967.7851851892,0.590427321204737,0.342011276060242,0.481282358572021
"78",-1,-1.17879593146347,-0.00111080158280325,1.32934406756768,-2.80169890568172,-11.5,-967.288791176993,0.590450551299743,0.342308754414798,0.481099335045435
"79",-1,-1.18731050225648,-0.00110187781266937,1.33820697864691,-2.82020698655708,-11,-966.506552252695,0.590546466069193,0.34288162985221,0.480809022894438
"80",-1,-1.1974313578572,-0.00109099074864177,1.34782044200902,-2.83614990423079,-10.5,-965.388723544905,0.590741238261129,0.343799676941889,0.480392540238653
"81",-1,-1.2088336700003,-0.00107895918858185,1.35825064926435,-2.85147986925182,-10,-964.113056724725,0.591076017941037,0.345041253041517,0.479913942998714
"82",-1,-1.22125035513437,-0.00106579550402714,1.36953339634478,-2.86786432946386,-9.5,-962.775585718772,0.5915513345865,0.346554927471661,0.479408660430932
"83",-1,-1.23515862964434,-0.00105133686976398,1.38177111258613,-2.88354287321821,-9,-961.22265369188,0.592215712966492,0.348499212911119,0.478819119589789
"84",-1,-1.2505064220813,-0.00103622863127957,1.3950952758593,-2.89953519976743,-8.5,-959.567791598129,0.59313192294057,0.35091961636933,0.478185006935998
"85",-1,-1.26654828461297,-0.00102298266775154,1.40947857271549,-2.91871558644252,-8,-958.270783116796,0.594428075977311,0.353802341398992,0.477670012383736
"86",-1,-1.28314274015885,-0.00101309605184973,1.42491372409111,-2.94126566865359,-7.5,-956.869066064544,0.596054726071305,0.357280871456801,0.477107551148593
"87",-1,-1.3009018854213,-0.00100465457851945,1.44152601028443,-2.96550810082108,-7,-955.319032003158,0.598047815032291,0.361423192598056,0.476481337427948
"88",-1,-1.31993265702807,-0.000997851531982197,1.45967768622839,-2.99345214891119,-6.5,-953.479086277916,0.600478837747535,0.366397876306467,0.475738826269983
"89",-1,-1.33929237052033,-0.000993773302115145,1.4791443881856,-3.02809924182872,-6,-952.280626468936,0.60342417973384,0.371875069018942,0.475215397193331
"90",-1,-1.3609589871576,-0.00098949448787373,1.50027135375719,-3.06230061894634,-5.5,-950.988805380876,0.606972053937656,0.378323929372773,0.474643106686743
"91",-1,-1.38382621147016,-0.000988527723713265,1.5228087791003,-3.0991694320065,-5,-950.211876379404,0.611309175454812,0.385743647208963,0.474237015249937
"92",-1,-1.4077359550061,-0.000989031580016633,1.54776574400485,-3.14753482581412,-4.5,-950.941002728667,0.616578777634548,0.393905198589493,0.474350169762261
"93",-1,-1.43015716725071,-0.000995486439560321,1.5732503364542,-3.20540492013944,-4,-954.290574457744,0.622625922836323,0.402079857675167,0.475389133068585
"94",-1,-1.45217470308654,-0.0010040296058589,1.59911040580996,-3.26719922821295,-3.5,-958.892781814455,0.629269791050594,0.410578927229502,0.476870437796189
"95",-1,-1.47563861186258,-0.00100859418603693,1.62634100821342,-3.33245796037484,-3,-963.42022769202,0.636389033165886,0.419761829250408,0.478321030520468
"96",-1,-1.50306755026463,-0.000999730647327373,1.6550841481693,-3.39172460631199,-2.5,-967.795585794903,0.643828308768342,0.429402199751212,0.479717252160399
"97",-1,-1.53533343634809,-0.000974968941540558,1.68570173588099,-3.4439818644876,-2,-970.288865725134,0.651503026061647,0.4400462455892,0.480432612038704
