"","Period","c1","Global_a0","c4","c0","p_value","logLik","sigma","tau","phi"
"1",-1,-1.10316260941643,-0.00112045287920187,1.12419146126667,-1.85607843559465,-50,-983.509360893737,0.618020847609804,0.381552013922691,0.486176746412125
"2",-1,-1.1030874077451,-0.00112072900783398,1.12445947318587,-1.85763574223239,-49.5,-983.529630849793,0.6179858021602,0.381484463332468,0.486185207413312
"3",-1,-1.10300565934519,-0.00112103957094971,1.12473460713587,-1.85925219672177,-49,-983.549496905502,0.617949626806173,0.381415111135855,0.486193638653482
"4",-1,-1.10292390922673,-0.0011213589568592,1.12501626478286,-1.86090270499857,-48.5,-983.570157033671,0.617913815001475,0.381345978104989,0.486202352681295
"5",-1,-1.10284343191872,-0.00112167890356248,1.12530485243138,-1.86258608668223,-48,-983.59106922338,0.617875300257286,0.381272231749019,0.486211242121316
"6",-1,-1.10276072918164,-0.0011220121506256,1.12560125738167,-1.86432274526743,-47.5,-983.612700329898,0.617839936760351,0.381203364519352,0.486220302265507
"7",-1,-1.10267746587422,-0.00112235267919616,1.12590429374077,-1.86609685663048,-47,-983.634972934465,0.617799226160703,0.381125310856088,0.486229761809798
"8",-1,-1.10259768800652,-0.00112269006604332,1.12621636589929,-1.86790835686046,-46.5,-983.657218769399,0.617761329713022,0.38105192823485,0.486239126847381
"9",-1,-1.10251549095194,-0.00112304049484066,1.1265365402742,-1.86977549377375,-46,-983.679755676031,0.61772074988612,0.380973942386632,0.486248681296163
"10",-1,-1.10242476645407,-0.00112342127499373,1.12686206101363,-1.87170237783953,-45.5,-983.702603058739,0.617682206919216,0.380899049400894,0.486258391094785
"11",-1,-1.10234262968477,-0.00112379845394642,1.12719912935416,-1.87366092536752,-45,-983.727104778788,0.617637816453781,0.380813913770356,0.486268686420067
"12",-1,-1.10225432658771,-0.00112419582975648,1.12754260355958,-1.87567700163812,-44.5,-983.751583952793,0.617592494084004,0.380727095912682,0.486279104205389
"13",-1,-1.10216607193955,-0.00112460538008242,1.12789518089942,-1.87774204375654,-44,-983.775319193302,0.617549661405294,0.380644749246555,0.486289172378762
"14",-1,-1.10206681522035,-0.00112506202644403,1.12826805384336,-1.87998893725044,-43.5,-983.799073146711,0.61750444254011,0.38055832853152,0.486299388383398
"15",-1,-1.10198182675682,-0.00112546341924393,1.12862880267964,-1.88206657723686,-43,-983.824386520998,0.617456283708501,0.380466443815575,0.486310135018223
"16",-1,-1.10188928538723,-0.00112590445230112,1.12901087386262,-1.8843173471927,-42.5,-983.850153002103,0.617408754529521,0.380375287376643,0.486321098578738
"17",-1,-1.1018003679926,-0.00112635087992434,1.12939239387984,-1.88652001677226,-42,-983.876500922387,0.61736255331339,0.380286038663244,0.486332243462683
"18",-1,-1.10170698723785,-0.00112681750425202,1.12979498185071,-1.88888708062471,-41.5,-983.903491151314,0.617312776190684,0.380190532040822,0.486343729264361
"19",-1,-1.1016080834644,-0.00112730609852197,1.13021932496166,-1.89142795489858,-41,-983.931294444469,0.617259501983784,0.380088814354801,0.486355616798686
"20",-1,-1.10151091414658,-0.00112780669241303,1.13064473821202,-1.89393916203909,-40.5,-983.959117651841,0.617207303635581,0.379988847490033,0.486367486006518
"21",-1,-1.10141399131754,-0.00112831733138247,1.13108217079295,-1.89651723127969,-40,-983.987831288239,0.61715270194417,0.37988444043945,0.48637975844909
"22",-1,-1.1013142565954,-0.00112885438021839,1.13152334320409,-1.89910702315113,-39.5,-984.017138602001,0.617102610545684,0.379787127652772,0.486392197317716
"23",-1,-1.10121504372714,-0.00112938900038523,1.13199511214703,-1.90191064909486,-39,-984.047220055091,0.617041601579613,0.379671472598873,0.486405089379765
"24",-1,-1.10111311966297,-0.00112995293673518,1.13247225228035,-1.90473612706632,-38.5,-984.078113364286,0.616985202225164,0.379562971829437,0.486418225584561
"25",-1,-1.10101012728465,-0.00113053670919181,1.13296331718786,-1.9076443774968,-38,-984.109412698457,0.616923371571245,0.379445211248811,0.486431678708508
"26",-1,-1.10090667789263,-0.001131138162606,1.13347006734173,-1.91064519920841,-37.5,-984.141631134123,0.61686478152176,0.379332382913339,0.486445374071105
"27",-1,-1.10080498387597,-0.00113175494682147,1.13399123206741,-1.91371769012118,-37,-984.173314967363,0.61680033884879,0.379210032727302,0.486459051804918
"28",-1,-1.10070323261742,-0.00113239434955202,1.13452888413035,-1.91688365772799,-36.5,-984.204410730747,0.616738456699554,0.37909219659681,0.486472435448869
"29",-1,-1.10059375411023,-0.0011330908552331,1.13508497808997,-1.92018357824122,-36,-984.234610878506,0.616674797636976,0.378971720308272,0.486485602302056
"30",-1,-1.1004930324751,-0.00113376311183219,1.13565033382899,-1.92349157178019,-35.5,-984.266893443733,0.616608142137333,0.378845312445961,0.486499568538119
"31",-1,-1.10038608115646,-0.00113448321245267,1.13624799161354,-1.92703904227441,-35,-984.299025067857,0.616536632480992,0.378710912841789,0.48651358016559
"32",-1,-1.10027498786186,-0.00113523996955806,1.13685768776904,-1.93065617761068,-34.5,-984.333921354162,0.616465285973818,0.378575365725035,0.486528664393926
"33",-1,-1.10016518141012,-0.00113601761774973,1.1374874000164,-1.93438282239487,-34,-984.369704393612,0.616394357240944,0.378440055956805,0.486544065512967
"34",-1,-1.10005579458385,-0.00113681886775998,1.13813827584531,-1.93823041765108,-33.5,-984.406879688879,0.616321266492937,0.378300438487806,0.486560049502002
"35",-1,-1.09995605854513,-0.00113761950600288,1.13881086612204,-1.94216178618443,-33,-984.443327750908,0.616245060018165,0.37815592609226,0.48657586207918
"36",-1,-1.09985700296772,-0.00113844613334234,1.13950575125026,-1.94621855357453,-32.5,-984.479968681744,0.616166154723846,0.378006772954051,0.486591830827476
"37",-1,-1.09975515227946,-0.00113931028683303,1.1402247690133,-1.95042779490121,-32,-984.517927839908,0.616087865348507,0.377857974752412,0.486608270321914
"38",-1,-1.09965230952843,-0.00114020629121272,1.14096907630617,-1.95478940505409,-31.5,-984.556837970083,0.616004416677258,0.37770005891944,0.486625222176307
"39",-1,-1.09955311722491,-0.00114112067369299,1.14174036629318,-1.95929496306612,-31,-984.596547668245,0.61591854876334,0.377537667796986,0.486642546542275
"40",-1,-1.09945512528239,-0.00114206080076627,1.14254011127722,-1.96396433362516,-30.5,-984.638471929398,0.615833704419004,0.377375876885646,0.486660661080412
"41",-1,-1.09936263706138,-0.00114302051050795,1.14336858383189,-1.96877828823443,-30,-984.681540342567,0.615743796265969,0.377205018278787,0.486679357303478
"42",-1,-1.09927409133164,-0.00114400780910356,1.14422871410704,-1.97376378418759,-29.5,-984.728484798929,0.615652860854017,0.377030529967893,0.486699521830324
"43",-1,-1.09919467039313,-0.00114501236960505,1.1451218760086,-1.97890584326316,-29,-984.776150545984,0.615559479319012,0.376851540166042,0.486720031695815
"44",-1,-1.09911709503213,-0.0011460637410191,1.14604803482922,-1.98423145550582,-28.5,-984.824903062743,0.615463818625538,0.376668148678169,0.486741017183152
"45",-1,-1.0990471623475,-0.0011471466840928,1.14700751134402,-1.98972014044917,-28,-984.872330895814,0.615369232782543,0.376486997397342,0.486761577618971
"46",-1,-1.09898158447531,-0.00114826795645115,1.14800798461452,-1.99542773377379,-27.5,-984.919502124659,0.61526289408715,0.376286458981939,0.486782219917007
"47",-1,-1.09892014345129,-0.00114943259441581,1.14904485135027,-2.00133276893653,-27,-984.96771799326,0.615158702375083,0.37608881218931,0.486803281063131
"48",-1,-1.09886514633749,-0.00115063582868037,1.15012291140412,-2.00745353329864,-26.5,-985.017608930096,0.615052506766397,0.375886922189896,0.486825027916845
"49",-1,-1.09882269123155,-0.00115185798040389,1.1512393386455,-2.01373808958127,-26,-985.065276318369,0.614942026939536,0.375678804638846,0.486846107349779
"50",-1,-1.098785860264,-0.00115312633475381,1.15241313687131,-2.02036492398145,-25.5,-985.115494251677,0.614825412575454,0.375459130230284,0.486868287604867
"51",-1,-1.09876224789292,-0.0011544336997487,1.15362781438531,-2.02716038095757,-25,-985.163611371454,0.614707372830265,0.375237948358929,0.486889757874684
"52",-1,-1.09873784083609,-0.00115583190400532,1.15488707735243,-2.03421164504955,-24.5,-985.211312799095,0.614583611035363,0.37500725745545,0.486911256605357
"53",-1,-1.0987433346972,-0.00115722439722184,1.15619621080813,-2.04142747917132,-24,-985.255134858171,0.614452577106065,0.37476610685057,0.486931550290544
"54",-1,-1.0987847614612,-0.00115859037493799,1.15756143585429,-2.04882549456009,-23.5,-985.29643849075,0.614314890779315,0.3745148702156,0.486951123851865
"55",-1,-1.09883426241054,-0.0011600289206823,1.1589858433099,-2.05653701990989,-23,-985.343351418509,0.614177000158892,0.374260461758756,0.48697278598326
"56",-1,-1.09890264124606,-0.0011615022746557,1.16047406092229,-2.06455077933698,-22.5,-985.389032180008,0.61403707475666,0.374003045422682,0.486994097695522
"57",-1,-1.09903050599588,-0.0011629444035641,1.16203786549735,-2.07276130563019,-22,-985.432326857979,0.613888093159124,0.373731497984559,0.487014741395743
"58",-1,-1.09917512397453,-0.00116444248948835,1.16367513303556,-2.08134349514917,-21.5,-985.479059415546,0.613739184900945,0.373458218663802,0.487036698817796
"59",-1,-1.09935834633462,-0.00116597336733162,1.16539183648991,-2.09023141545309,-21,-985.520980995356,0.613585409815577,0.373178913339253,0.487057033392891
"60",-1,-1.09957120354838,-0.00116755879153318,1.16719037009241,-2.0994784182501,-20.5,-985.56147548219,0.613425510477456,0.372889817512028,0.487077037952288
"61",-1,-1.09982474265825,-0.00116918937536028,1.16907862147321,-2.10908380381513,-20,-985.589154817554,0.613259947542748,0.37259720702269,0.487092480519896
"62",-1,-1.10012704838927,-0.00117085241990425,1.17106594839378,-2.11907415368179,-19.5,-985.608233475289,0.613090615925126,0.372302237905883,0.487104862412317
