"","EVENT","M","Period","dBe"
"1","3000105",7.66,-1,0.0275553027098759
"2","3000177",7.38,-1,-0.741067994981103
"3","4000001",9.12,-1,-0.247027658023719
"4","4000002",7.36,-1,-0.366912432889993
"5","4000068",8.29,-1,-0.172044468854038
"6","4000094",7.76,-1,-0.00933836737794403
"7","4000095",8.26,-1,-0.236591282901537
"8","4000096",7.65,-1,0.23101143567011
"9","4000165",6.74,-1,0.0543086729862817
"10","6000057",8.41,-1,0.729532633887799
"11","6000079",8.15,-1,-0.221645953537012
"12","6000149",8.81,-1,0.0579757895647778
"13","6000272",8,-1,0.0713900716811417
"14","6000323",7.98,-1,-0.243627557193636
"15","6000338",8.31,-1,-0.243287480282795
"16","6000339",7.82,-1,0.427389569556892
"17","ak0219neiszm",8.2,-1,0.106036165760489
"18","us10007mn3",7.6,-1,0.517035313372194
"19","us2000d3km",7.2,-1,0.229526802364716
"20","us7000asvb",7.8,-1,-0.0912633612489614
"21","us7000i9bw",7.6,-1,0.331517849258859
"22","us7000kg30",7.2,-1,-0.210577159597445
"23","3000105",7.66,0,-0.588385819644454
"24","3000177",7.38,0,-0.761970154955081
"25","4000001",9.12,0,-0.303077181925066
"26","4000002",7.36,0,-0.285968140999201
"27","4000068",8.29,0,-0.20440205769636
"28","4000094",7.76,0,0.19813663872123
"29","4000095",8.26,0,-0.294215829312161
"30","4000096",7.65,0,0.258526744012495
"31","4000165",6.74,0,-0.259903557431078
"32","6000057",8.41,0,0.773584626281892
"33","6000079",8.15,0,-0.314749800909371
"34","6000149",8.81,0,0.0229662368543906
"35","6000272",8,0,0.0160648265182009
"36","6000323",7.98,0,-0.308087643005218
"37","6000338",8.31,0,-0.0602082718806087
"38","6000339",7.82,0,0.259036137519882
"39","ak0219neiszm",8.2,0,0.283170295967766
"40","us10007mn3",7.6,0,0.666311769860308
"41","us2000d3km",7.2,0,0.487369841223814
"42","us7000asvb",7.8,0,0.165593891555282
"43","us7000i9bw",7.6,0,0.0841152979360332
"44","us7000kg30",7.2,0,0.165756903635284
"45","3000105",7.66,0.01,-0.59632936942755
"46","3000177",7.38,0.01,-0.772142740935253
"47","4000001",9.12,0.01,-0.302562180647087
"48","4000002",7.36,0.01,-0.286486382750173
"49","4000068",8.29,0.01,-0.204941569451526
"50","4000094",7.76,0.01,0.197054622723262
"51","4000095",8.26,0.01,-0.296164194067061
"52","4000096",7.65,0.01,0.262643827051376
"53","4000165",6.74,0.01,-0.265301953294059
"54","6000057",8.41,0.01,0.778842249672801
"55","6000079",8.15,0.01,-0.320553145695233
"56","6000149",8.81,0.01,0.0235826890132551
"57","6000272",8,0.01,0.0223225900644969
"58","6000323",7.98,0.01,-0.309865408694774
"59","6000338",8.31,0.01,-0.0532077600775494
"60","6000339",7.82,0.01,0.273176616172676
"61","ak0219neiszm",8.2,0.01,0.269622175374986
"62","us10007mn3",7.6,0.01,0.666455277427849
"63","us2000d3km",7.2,0.01,0.503048827237151
