"","EVENT","M","Period","dBe"
"1","3000105",7.66,-1,-0.260313764278938
"2","3000177",7.38,-1,-1.68234997936815
"3","4000001",9.12,-1,-0.634301855070365
"4","4000002",7.36,-1,-0.323694927933067
"5","4000068",8.29,-1,-0.62778998673098
"6","4000094",7.76,-1,-0.241065568997246
"7","4000095",8.26,-1,-0.795298010925913
"8","4000096",7.65,-1,-0.403174752337312
"9","4000165",6.74,-1,-0.250814591184539
"10","6000057",8.41,-1,1.16124608424394
"11","6000079",8.15,-1,-0.154450496328494
"12","6000149",8.81,-1,0.956026278575752
"13","6000272",8,-1,-0.116815648080265
"14","6000323",7.98,-1,-0.203930782962007
"15","6000338",8.31,-1,-0.344729504018452
"16","6000339",7.82,-1,0.501378251275743
"17","ak0219neiszm",8.2,-1,0.166764010500333
"18","us10007mn3",7.6,-1,0.862058885624021
"19","us2000d3km",7.2,-1,0.85385096018503
"20","us7000asvb",7.8,-1,0.225797451666491
"21","us7000i9bw",7.6,-1,0.750603321467046
"22","us7000kg30",7.2,-1,0.561004624677399
"23","3000105",7.66,0,-0.659985074518225
"24","3000177",7.38,0,-1.08776150288832
"25","4000001",9.12,0,-0.405414201644498
"26","4000002",7.36,0,-0.269627221144813
"27","4000068",8.29,0,-0.021767111243451
"28","4000094",7.76,0,0.266391076883964
"29","4000095",8.26,0,-0.204097880150075
"30","4000096",7.65,0,0.265887139196798
"31","4000165",6.74,0,-0.346792170511619
"32","6000057",8.41,0,0.916390891608268
"33","6000079",8.15,0,-0.151860962221794
"34","6000149",8.81,0,-0.15922203782442
"35","6000272",8,0,-0.0675812994352218
"36","6000323",7.98,0,-0.241434863500909
"37","6000338",8.31,0,-0.292861638618675
"38","6000339",7.82,0,0.277694888435642
"39","ak0219neiszm",8.2,0,0.318766351955148
"40","us10007mn3",7.6,0,0.738493065265087
"41","us2000d3km",7.2,0,0.553034248604908
"42","us7000asvb",7.8,0,0.264727749831647
"43","us7000i9bw",7.6,0,0.11678781685435
"44","us7000kg30",7.2,0,0.190232735066223
"45","3000105",7.66,0.01,-0.669471682586574
"46","3000177",7.38,0.01,-1.10534833167269
"47","4000001",9.12,0.01,-0.40541650950024
"48","4000002",7.36,0.01,-0.268187884664318
"49","4000068",8.29,0.01,-0.0196810576602637
"50","4000094",7.76,0.01,0.266995777749096
"51","4000095",8.26,0.01,-0.204187868859598
"52","4000096",7.65,0.01,0.270506694549194
"53","4000165",6.74,0.01,-0.352373439813413
"54","6000057",8.41,0.01,0.924331002116684
"55","6000079",8.15,0.01,-0.155571420773457
"56","6000149",8.81,0.01,-0.161901034116542
"57","6000272",8,0.01,-0.0624527382821373
"58","6000323",7.98,0.01,-0.242557061976258
"59","6000338",8.31,0.01,-0.288796218448818
"60","6000339",7.82,0.01,0.292235905036461
"61","ak0219neiszm",8.2,0.01,0.304424901557902
"62","us10007mn3",7.6,0.01,0.738981150712984
"63","us2000d3km",7.2,0.01,0.570979587420883
"64","us7000asvb",7.8,0.01,0.26262996439196
"65","us7000i9bw",7.6,0.01,0.109338497158723
"66","us7000kg30",7.2,0.01,0.195521767660414
"67","3000105",7.66,0.02,-0.662962736937242
"68","3000177",7.38,0.02,-1.08908993192269
"69","4000001",9.12,0.02,-0.410617657059884
"70","4000002",7.36,0.02,-0.270854105577434
"71","4000068",8.29,0.02,-0.0187118020680393
"72","4000094",7.76,0.02,0.266035336927896
"73","4000095",8.26,0.02,-0.157241280885069
"74","4000096",7.65,0.02,0.281723261913831
"75","4000165",6.74,0.02,-0.363159029148729
"76","6000057",8.41,0.02,0.904557978475782
"77","6000079",8.15,0.02,-0.141867813470613
"78","6000149",8.81,0.02,-0.183010223388705
"79","6000272",8,0.02,-0.0740777810996651
"80","6000323",7.98,0.02,-0.232912096563726
"81","6000338",8.31,0.02,-0.264950291204538
"82","6000339",7.82,0.02,0.26860793637716
"83","ak0219neiszm",8.2,0.02,0.297242640562376
"84","us10007mn3",7.6,0.02,0.720859002451324
"85","us2000d3km",7.2,0.02,0.569990323226061
"86","us7000asvb",7.8,0.02,0.253379493330676
"87","us7000i9bw",7.6,0.02,0.106920040945577
"88","us7000kg30",7.2,0.02,0.200044987208424
"89","3000105",7.66,0.025,-0.667540861231007
"90","3000177",7.38,0.025,-1.0574686600184
"91","4000001",9.12,0.025,-0.408520537266972
