"","EVENT","M","Period","dBe"
"1","3000105",7.66,-1,-0.176128486920591
"2","3000177",7.38,-1,-0.805087232707278
"3","4000001",9.12,-1,-0.600481064259148
"4","4000002",7.36,-1,-0.299245747721039
"5","4000068",8.29,-1,-0.122663685696497
"6","4000094",7.76,-1,-0.112650683027946
"7","4000095",8.26,-1,-0.161740246448106
"8","4000096",7.65,-1,0.244486670108103
"9","4000165",6.74,-1,-0.0791286323770127
"10","6000057",8.41,-1,0.983966022492683
"11","6000079",8.15,-1,-0.0797726499624966
"12","6000149",8.81,-1,0.212453337184599
"13","6000272",8,-1,-0.0731991989840236
"14","6000323",7.98,-1,-0.311299351994712
"15","6000338",8.31,-1,-0.200074763397528
"16","6000339",7.82,-1,0.23336034884144
"17","ak0219neiszm",8.2,-1,0.227336693975027
"18","us10007mn3",7.6,-1,0.600659610606528
"19","us2000d3km",7.2,-1,0.342459575360357
"20","us7000asvb",7.8,-1,-0.0872896011518861
"21","us7000i9bw",7.6,-1,0.387713211842321
"22","us7000kg30",7.2,-1,-0.123803278413449
"23","3000105",7.66,0,-1.07557202655287
"24","3000177",7.38,0,-1.01071645740932
"25","4000001",9.12,0,-0.880747102534613
"26","4000002",7.36,0,0.0441688610892721
"27","4000068",8.29,0,5.79732473234384e-05
"28","4000094",7.76,0,0.177348901770751
"29","4000095",8.26,0,-0.10799295753435
"30","4000096",7.65,0,0.338521117019343
"31","4000165",6.74,0,-0.417765375359326
"32","6000057",8.41,0,1.3513764338641
"33","6000079",8.15,0,-0.101578290282743
"34","6000149",8.81,0,0.25721481726599
"35","6000272",8,0,-0.216251346800144
"36","6000323",7.98,0,-0.600025963329235
"37","6000338",8.31,0,0.0270835065668234
"38","6000339",7.82,0,-0.190041293192731
"39","ak0219neiszm",8.2,0,0.346064506057266
"40","us10007mn3",7.6,0,0.777385507163326
"41","us2000d3km",7.2,0,0.778547103618511
"42","us7000asvb",7.8,0,0.126610717528997
"43","us7000i9bw",7.6,0,0.185660078384345
"44","us7000kg30",7.2,0,0.190651289419262
"45","3000105",7.66,0.01,-1.08758725262684
"46","3000177",7.38,0.01,-1.01956433088252
"47","4000001",9.12,0.01,-0.885690148451633
"48","4000002",7.36,0.01,0.0510818378746998
"49","4000068",8.29,0.01,0.00249978071074236
"50","4000094",7.76,0.01,0.17771991571239
"51","4000095",8.26,0.01,-0.105108805100645
"52","4000096",7.65,0.01,0.346025342633186
"53","4000165",6.74,0.01,-0.419219762076833
"54","6000057",8.41,0.01,1.36242568764792
"55","6000079",8.15,0.01,-0.104165895847003
"56","6000149",8.81,0.01,0.260229654507185
"57","6000272",8,0.01,-0.210772296321316
"58","6000323",7.98,0.01,-0.603575423170123
"59","6000338",8.31,0.01,0.0368873489011359
"60","6000339",7.82,0.01,-0.181452830855869
"61","ak0219neiszm",8.2,0.01,0.326699485191389
"62","us10007mn3",7.6,0.01,0.774360936761292
"63","us2000d3km",7.2,0.01,0.793957050393351
"64","us7000asvb",7.8,0.01,0.121330258984097
"65","us7000i9bw",7.6,0.01,0.174879641412833
"66","us7000kg30",7.2,0.01,0.189039804602567
"67","3000105",7.66,0.02,-1.08342239936079
"68","3000177",7.38,0.02,-1.00727209992555
"69","4000001",9.12,0.02,-0.894480303840826
"70","4000002",7.36,0.02,0.0508757081073183
"71","4000068",8.29,0.02,0.00303661694465153
"72","4000094",7.76,0.02,0.177937762852199
"73","4000095",8.26,0.02,-0.0537756220525827
