"Period","p_opt","p_sd","p_opt_pred"
-1,20.6036126178679,7.69600503025444,-9.30321515196944
0,-8.52396031589791,0.34454633800432,-8.62536051643366
0.01,-8.5418985324352,0.343316815161186,-8.61858196999269
0.02,-8.52422897389271,0.344220072915485,-8.61180342355002
0.025,-8.4985524156578,0.344817781575572,-8.60841415032805
0.03,-8.46871433845963,0.344248310958959,-8.60502487710566
0.04,-8.30275819254643,0.244369746734806,-8.5982463306596
0.05,-8.29290663617264,0.246290520670912,-8.59146778421185
0.075,-8.29265751156816,0.246333791240285,-8.57452141808505
0.1,-8.30695213186041,0.243426487212372,-8.55757505194765
0.15,-8.68905002538377,0.242456389056426,-8.52368231964108
0.2,-8.90159493960902,0.361617689806726,-8.48978958729212
0.25,-8.94940288341453,0.369986154746886,-8.45589685490077
0.3,-8.91097059302425,0.368680501152099,-8.42200412246705
0.4,-8.93202712405137,0.377028335279722,-8.35421865747244
0.5,-8.9268077917004,0.380422897847844,-8.28643319230831
0.75,-9.76094976865877,0.743740998834251,-8.11696952865627
1,-9.99565353661544,0.855230918183531,-7.94750586394466
1.5,-10.5945661298698,1.2624016530267,-7.6085785313427
2,-11.263161879627,1.88328802104308,-7.26965119450244
2.5,-16.4779712394098,1.78134825018019,-6.93072385342387
3,-4.74573847891954,0.502698506267831,-6.591796508107
4,-5.01011379433238,0.389198907649968,-5.91394180475835
5,-4.94633319501658,0.366858994201098,-5.23608708445648
7.5,-45.0070452217584,3.46623610070729,-3.54145020953146
10,-36.6727438209586,6.8263517444512,-1.8468132286488
