"Period","p_opt","p_sd","p_opt_pred"
-1,-1,0,4.20745829851784
0,-4.76751439761956,0.249385737114263,-5.62261388329141
0.01,-4.93316151025029,0.351704167978699,-5.48756352408428
0.02,-4.79316214417233,0.246245871661734,-5.35871568471757
0.025,-4.78303909702781,0.247807219563085,-5.29648569482823
0.03,-4.78083025168723,0.248091708005129,-5.23565265833471
0.04,-4.78167581797328,0.247985165999346,-5.11799342172171
0.05,-4.80851585090761,0.243055333602367,-5.00538969480673
0.075,-5.17748279850547,0.239251448245151,-4.74396894457472
0.1,-5.21697741019038,0.24780941984167,-4.50790574065822
0.15,-5.47068382992971,0.370311529212684,-4.09839896302841
0.2,-5.95053973310888,0.387904424526257,-3.75542787694251
0.25,-5.95678705558023,0.3886639856231,-3.46399501636955
0.3,-5.66562893954374,0.486099338658165,-3.21329525877057
0.4,-4.73128371541507,0.249298416945106,-2.80412475101926
0.5,-4.18137623111186,0.493932610578905,-2.4843445685463
0.75,-1.674434828591,0.238306325702714,-1.92497564132108
1,-1.5,0,-1.56319804079639
1.5,-1.27961604114356,0.2482395820714,-1.12295011653258
2,-1.333213098481,0.23574473534141,-0.864964048407274
2.5,-1.18438575965038,0.24123592490204,-0.695466672347789
3,-0.824087111690999,0.238769972737959,-0.575595675413208
4,-1.34986463741479,0.393315610443362,-0.417297569747086
5,-0.859371039976943,0.224806529296553,-0.317460918076001
7.5,-1.17600923952989,0.238799847916733,-0.178231753239806
10,-41.5794748089916,5.67681656809732,-0.105840270111076
